ProductKey(Integer),ProductName(String),Category(String),Price(Double)
111,Product 111,Category 111,17.38210868031244
112,Product 112,Category 112,15.7595018154677
113,Product 113,Category 113,46.639869227826466
114,Product 114,Category 114,1.267811158266562
115,Product 115,Category 115,11.734369345926758
116,Product 116,Category 116,32.86291126063766
117,Product 117,Category 117,31.428466031964906
118,Product 118,Category 118,22.204736221134922
119,Product 119,Category 119,23.10163203363692
120,Product 120,Category 120,22.135987244986154
121,Product 121,Category 121,7.489026040792789
122,Product 122,Category 122,10.497891801400604
123,Product 123,Category 123,18.61432373717949
124,Product 124,Category 124,7.51644522197945
125,Product 125,Category 125,8.710392980968706
126,Product 126,Category 126,2.9702877940476204
127,Product 127,Category 127,25.917981401201946
128,Product 128,Category 128,28.96159185837677
129,Product 129,Category 129,3.6718701412647707
130,Product 130,Category 130,46.96671535803047
131,Product 131,Category 131,10.365837270060851
132,Product 132,Category 132,20.086630026819805
133,Product 133,Category 133,36.102969433441636
134,Product 134,Category 134,34.97201226065897
135,Product 135,Category 135,17.088404926135514
136,Product 136,Category 136,32.969456463405095
137,Product 137,Category 137,14.040501600410243
138,Product 138,Category 138,17.609975264744453
139,Product 139,Category 139,47.44840740092347
140,Product 140,Category 140,49.90618733785126
141,Product 141,Category 141,22.684504616989646
142,Product 142,Category 142,24.089357813797744
143,Product 143,Category 143,32.01636230171101
144,Product 144,Category 144,22.731736515391496
145,Product 145,Category 145,48.11277080691128
146,Product 146,Category 146,20.77477006897622
147,Product 147,Category 147,6.391602328005973
148,Product 148,Category 148,45.21234491870791
149,Product 149,Category 149,37.73437665386372
150,Product 150,Category 150,29.234099035203037
151,Product 151,Category 151,41.945448699077694
152,Product 152,Category 152,42.97201712507671
153,Product 153,Category 153,38.645872937259945
154,Product 154,Category 154,4.850395626229036
155,Product 155,Category 155,30.87770563965787
156,Product 156,Category 156,8.432454800554716
157,Product 157,Category 157,46.899459234654394
158,Product 158,Category 158,45.885010707635296
159,Product 159,Category 159,23.854614370753744
160,Product 160,Category 160,15.326079398424795
161,Product 161,Category 161,19.10069054360413
162,Product 162,Category 162,10.740092992068094
163,Product 163,Category 163,18.93583467690962
164,Product 164,Category 164,18.484379934364085
165,Product 165,Category 165,42.72395835952157
166,Product 166,Category 166,18.092378456604994
167,Product 167,Category 167,2.4999960067427374
168,Product 168,Category 168,29.808861216861914
169,Product 169,Category 169,33.067194980899636
170,Product 170,Category 170,40.55654245108791
171,Product 171,Category 171,46.442806684600654
172,Product 172,Category 172,10.599462355659384
173,Product 173,Category 173,22.862954688157732
174,Product 174,Category 174,27.585188538593275
175,Product 175,Category 175,21.048653754656893
176,Product 176,Category 176,33.74539167772086
177,Product 177,Category 177,35.221220561621
178,Product 178,Category 178,7.423931564229102
179,Product 179,Category 179,39.62608959641946
180,Product 180,Category 180,46.6758898000593
181,Product 181,Category 181,31.799989694256443
182,Product 182,Category 182,21.113772968735944
183,Product 183,Category 183,9.249554940152965
184,Product 184,Category 184,7.423535970396305
185,Product 185,Category 185,5.882921787258182
186,Product 186,Category 186,33.76939773493534
187,Product 187,Category 187,21.76413350728118
188,Product 188,Category 188,21.670265973292906
189,Product 189,Category 189,44.38897365681964
190,Product 190,Category 190,49.66075267737433
191,Product 191,Category 191,30.58709132101267
192,Product 192,Category 192,28.226353377309547
193,Product 193,Category 193,13.747230152554867
194,Product 194,Category 194,27.986668332647344
195,Product 195,Category 195,21.779407384938924
196,Product 196,Category 196,14.035207001954847
197,Product 197,Category 197,32.040763742359594
198,Product 198,Category 198,5.653073887424935
199,Product 199,Category 199,2.3624556374831345
200,Product 200,Category 200,37.50187500033626
201,Product 201,Category 201,23.85661975412838
202,Product 202,Category 202,31.854697011479654
203,Product 203,Category 203,44.91944564242182
204,Product 204,Category 204,50.71076517085123
205,Product 205,Category 205,14.874695798264437
206,Product 206,Category 206,6.807960657932537
207,Product 207,Category 207,45.14819148682857
208,Product 208,Category 208,36.92813258653138
209,Product 209,Category 209,10.38648963125932
210,Product 210,Category 210,43.594130065918904
211,Product 211,Category 211,18.22122204514453
212,Product 212,Category 212,19.6775035907928
213,Product 213,Category 213,15.655405072866968
214,Product 214,Category 214,37.74558139346226
215,Product 215,Category 215,30.56121359997333
216,Product 216,Category 216,3.6312312702305105
217,Product 217,Category 217,46.31349330464552
218,Product 218,Category 218,33.94438991298931
219,Product 219,Category 219,35.95415669186831
220,Product 220,Category 220,25.579023275214695
221,Product 221,Category 221,43.83522879571156
222,Product 222,Category 222,23.00126604826911
223,Product 223,Category 223,8.799637507632422
224,Product 224,Category 224,25.814286056962004
225,Product 225,Category 225,4.537099226521651
226,Product 226,Category 226,35.14421066031129
227,Product 227,Category 227,42.73707987635184
228,Product 228,Category 228,46.421767387066794
229,Product 229,Category 229,50.522515030216944
230,Product 230,Category 230,17.570055061094184
231,Product 231,Category 231,9.888701890235762
232,Product 232,Category 232,23.155037590520056
233,Product 233,Category 233,17.524724901396894
234,Product 234,Category 234,45.198421417666545
235,Product 235,Category 235,4.524455216110706
236,Product 236,Category 236,11.859901526650685
237,Product 237,Category 237,7.696150476268209
238,Product 238,Category 238,13.616425317693885
239,Product 239,Category 239,25.081114775932445
240,Product 240,Category 240,28.729962930813507
241,Product 241,Category 241,5.0507339787475445
242,Product 242,Category 242,2.3138059785020975
243,Product 243,Category 243,30.157175796839784
244,Product 244,Category 244,36.07309370425989
245,Product 245,Category 245,27.486612635955336
246,Product 246,Category 246,24.481978274770427
247,Product 247,Category 247,37.35713780089083
248,Product 248,Category 248,21.722671179337677
249,Product 249,Category 249,42.0996238032268
250,Product 250,Category 250,46.886828941051085
251,Product 251,Category 251,18.67325248272396
252,Product 252,Category 252,50.745000691409416
253,Product 253,Category 253,49.84386311781099
254,Product 254,Category 254,19.623919523661975
255,Product 255,Category 255,32.469701325690664
256,Product 256,Category 256,12.674433580025639
257,Product 257,Category 257,1.5037035270702483
258,Product 258,Category 258,50.92606769884465
259,Product 259,Category 259,20.07369808290752
260,Product 260,Category 260,46.150275826343325
261,Product 261,Category 261,39.41239755104859
262,Product 262,Category 262,46.61713541655715
263,Product 263,Category 263,34.4798866012358
264,Product 264,Category 264,45.534627128984404
265,Product 265,Category 265,18.385589897730547
266,Product 266,Category 266,7.292140742821884
267,Product 267,Category 267,9.7389291320508
268,Product 268,Category 268,40.857913535774045
269,Product 269,Category 269,44.933758081811504
270,Product 270,Category 270,38.85268299507615
271,Product 271,Category 271,22.228074110977204
272,Product 272,Category 272,43.268920086717756
273,Product 273,Category 273,35.975817472658406
274,Product 274,Category 274,33.637957921237934
275,Product 275,Category 275,39.190988602715535
276,Product 276,Category 276,13.058728139677942
277,Product 277,Category 277,36.99682280534742
278,Product 278,Category 278,20.06550070662862
279,Product 279,Category 279,45.68606932342987
280,Product 280,Category 280,36.283014561657
281,Product 281,Category 281,4.875890001734228
282,Product 282,Category 282,8.432096883151424
283,Product 283,Category 283,38.39690571957194
284,Product 284,Category 284,39.02480194513921
285,Product 285,Category 285,2.4561941248669608
286,Product 286,Category 286,29.324154285745085
287,Product 287,Category 287,23.635527706044172
288,Product 288,Category 288,25.419744383749997
289,Product 289,Category 289,20.33707159191294
290,Product 290,Category 290,18.948125763755733
291,Product 291,Category 291,7.308512211917322
292,Product 292,Category 292,46.70870131365385
293,Product 293,Category 293,36.33897915684583
294,Product 294,Category 294,2.6154383243082995
295,Product 295,Category 295,16.617986136595746
296,Product 296,Category 296,43.78735796556204
297,Product 297,Category 297,44.62524625723126
298,Product 298,Category 298,13.602677454922528
299,Product 299,Category 299,46.83401441069281
300,Product 300,Category 300,4.99027223855688
301,Product 301,Category 301,34.56029348675536
302,Product 302,Category 302,9.65662965395887
303,Product 303,Category 303,31.60180579934837
304,Product 304,Category 304,44.176786232283874
305,Product 305,Category 305,24.042141115978765
306,Product 306,Category 306,13.525093656576841
307,Product 307,Category 307,41.93664164407522
308,Product 308,Category 308,31.578830135732748
309,Product 309,Category 309,3.26779294338077
310,Product 310,Category 310,7.068220887711001
311,Product 311,Category 311,27.311357171482676
312,Product 312,Category 312,1.3257115345263795
313,Product 313,Category 313,22.673238485420814
314,Product 314,Category 314,50.74144740503333
315,Product 315,Category 315,22.055690081869187
316,Product 316,Category 316,15.078569167846283
317,Product 317,Category 317,13.135541971440961
318,Product 318,Category 318,31.539936577046323
319,Product 319,Category 319,1.6637406386451772
320,Product 320,Category 320,30.78725587921986
321,Product 321,Category 321,7.432686664506737
322,Product 322,Category 322,12.855755940919643
323,Product 323,Category 323,36.545252307925004
324,Product 324,Category 324,9.224975630402742
325,Product 325,Category 325,39.42753854435956
326,Product 326,Category 326,19.122851018295933
327,Product 327,Category 327,5.258368502233162
328,Product 328,Category 328,38.66108911880697
329,Product 329,Category 329,31.475514165854694
330,Product 330,Category 330,36.61120639639047
331,Product 331,Category 331,45.32597673025258
332,Product 332,Category 332,19.800086738622525
333,Product 333,Category 333,41.15120531448811
334,Product 334,Category 334,49.280413517339795
335,Product 335,Category 335,37.364712720611784
336,Product 336,Category 336,28.944781767040872
337,Product 337,Category 337,25.547473951253085
338,Product 338,Category 338,5.214187910335859
339,Product 339,Category 339,37.445134069540686
340,Product 340,Category 340,17.234390891839023
341,Product 341,Category 341,45.12115762940528
342,Product 342,Category 342,24.831203499194952
343,Product 343,Category 343,43.35353557871116
344,Product 344,Category 344,7.763205689280893
345,Product 345,Category 345,19.342814608860213
346,Product 346,Category 346,16.803961964513043
347,Product 347,Category 347,2.740338388513274
348,Product 348,Category 348,20.403182069669995
349,Product 349,Category 349,13.253561464354384
350,Product 350,Category 350,11.416209723121755
351,Product 351,Category 351,45.01691694142559
352,Product 352,Category 352,36.23380249271979
353,Product 353,Category 353,27.44030763404521
354,Product 354,Category 354,3.950771627356985
355,Product 355,Category 355,44.30220772594165
356,Product 356,Category 356,9.625194611522168
357,Product 357,Category 357,33.911396742320306
358,Product 358,Category 358,22.623475733858122
359,Product 359,Category 359,47.722378521456406
360,Product 360,Category 360,46.225527707312324
361,Product 361,Category 361,46.88781992894247
362,Product 362,Category 362,46.56520473459253
363,Product 363,Category 363,31.9312890734734
364,Product 364,Category 364,39.371309054466856
365,Product 365,Category 365,40.620936484105094
366,Product 366,Category 366,49.402889045804756
367,Product 367,Category 367,30.84644228634935
368,Product 368,Category 368,45.76927903443937
369,Product 369,Category 369,26.00577595635266
370,Product 370,Category 370,33.10162994732577
371,Product 371,Category 371,9.284562188890355
372,Product 372,Category 372,33.69116235909781
373,Product 373,Category 373,23.97975316208391
374,Product 374,Category 374,44.90395283800999
375,Product 375,Category 375,40.43290443638752
376,Product 376,Category 376,3.3776394783479926
377,Product 377,Category 377,26.479790094894998
378,Product 378,Category 378,37.438503207873204
379,Product 379,Category 379,29.906830220149953
380,Product 380,Category 380,9.865461766576715
381,Product 381,Category 381,15.076565307703747
382,Product 382,Category 382,38.36934932174477
383,Product 383,Category 383,15.52116617591015
384,Product 384,Category 384,13.031716442782614
385,Product 385,Category 385,13.312805807934174
386,Product 386,Category 386,41.31837731758034
387,Product 387,Category 387,9.842301575538702
388,Product 388,Category 388,38.29182257796166
389,Product 389,Category 389,31.24323909916797
390,Product 390,Category 390,14.217085502271559
391,Product 391,Category 391,42.089912768002016
392,Product 392,Category 392,4.092925116712097
393,Product 393,Category 393,19.707035956760677
394,Product 394,Category 394,44.73040805906905
395,Product 395,Category 395,47.021704169375546
396,Product 396,Category 396,9.111931706726965
397,Product 397,Category 397,37.45925462660777
398,Product 398,Category 398,4.944062906623319
399,Product 399,Category 399,41.06146235108514
400,Product 400,Category 400,22.897497604096845
401,Product 401,Category 401,46.44603304743834
402,Product 402,Category 402,19.118181018997547
403,Product 403,Category 403,20.120199598219983
404,Product 404,Category 404,38.58786958902792
405,Product 405,Category 405,39.22895044359653
406,Product 406,Category 406,8.983872802338183
407,Product 407,Category 407,9.31210171186068
408,Product 408,Category 408,25.29155457320084
409,Product 409,Category 409,17.847190819849438
410,Product 410,Category 410,20.795668552520628
411,Product 411,Category 411,42.081460356235574
412,Product 412,Category 412,10.735374793754293
413,Product 413,Category 413,35.251860200127446
414,Product 414,Category 414,7.151614148011431
415,Product 415,Category 415,45.13371298426828
416,Product 416,Category 416,31.864530938676605
417,Product 417,Category 417,28.854986969370565
418,Product 418,Category 418,44.45412949713421
419,Product 419,Category 419,6.003175036960316
420,Product 420,Category 420,12.221891740035788
421,Product 421,Category 421,20.706451613149216
422,Product 422,Category 422,13.808572680984332
423,Product 423,Category 423,2.0919984106269096
424,Product 424,Category 424,10.138789744224695
425,Product 425,Category 425,30.345299329619156
426,Product 426,Category 426,9.142762194678726
427,Product 427,Category 427,23.579333081734738
428,Product 428,Category 428,31.03719443241103
429,Product 429,Category 429,44.4675819423092
430,Product 430,Category 430,11.379558755560502
431,Product 431,Category 431,27.726642524882426
432,Product 432,Category 432,10.473210171120272
433,Product 433,Category 433,12.21108034725885
434,Product 434,Category 434,31.605925291830705
435,Product 435,Category 435,18.794572275961517
436,Product 436,Category 436,1.944406877284637
437,Product 437,Category 437,36.07797761929552
438,Product 438,Category 438,29.355711417159863
439,Product 439,Category 439,6.038688719274265
440,Product 440,Category 440,44.9385968789245
441,Product 441,Category 441,6.2997225498326195
442,Product 442,Category 442,4.359738740502122
443,Product 443,Category 443,2.0659267698735597
444,Product 444,Category 444,44.21923432503872
445,Product 445,Category 445,30.794065236943602
446,Product 446,Category 446,41.41559873582645
447,Product 447,Category 447,35.210465456527324
448,Product 448,Category 448,10.922685055273266
449,Product 449,Category 449,43.77242181682461
450,Product 450,Category 450,8.390879095947966
451,Product 451,Category 451,12.527259942571238
452,Product 452,Category 452,49.68521221784921
453,Product 453,Category 453,33.52644105740209
454,Product 454,Category 454,16.797408845984112
455,Product 455,Category 455,34.50337149890707
456,Product 456,Category 456,23.72258130300951
457,Product 457,Category 457,13.955845450416504
458,Product 458,Category 458,2.86037520100798
459,Product 459,Category 459,28.65172398382516
460,Product 460,Category 460,41.552786615044376
461,Product 461,Category 461,24.995320029097634
462,Product 462,Category 462,24.555059853211198
463,Product 463,Category 463,36.77883120185687
464,Product 464,Category 464,34.882446406519115
465,Product 465,Category 465,34.256430855119994
466,Product 466,Category 466,46.695224687276536
467,Product 467,Category 467,9.907537590456732
468,Product 468,Category 468,37.070046014571844
469,Product 469,Category 469,25.92125407949668
470,Product 470,Category 470,1.8310226823991962
471,Product 471,Category 471,35.58772142044595
472,Product 472,Category 472,25.534220989988587
473,Product 473,Category 473,3.207605804002799
474,Product 474,Category 474,19.450639244271844
475,Product 475,Category 475,44.6423994374059
476,Product 476,Category 476,9.49290604895373
477,Product 477,Category 477,47.57144763488778
478,Product 478,Category 478,9.778690616001994
479,Product 479,Category 479,18.2736030555599
480,Product 480,Category 480,26.499223578773268
481,Product 481,Category 481,21.22027286449613
482,Product 482,Category 482,21.32573573463709
483,Product 483,Category 483,41.89185825009176
484,Product 484,Category 484,7.382566601766965
485,Product 485,Category 485,19.481967212234075
486,Product 486,Category 486,13.267092949501851
487,Product 487,Category 487,29.03505692541684
488,Product 488,Category 488,29.408422449123417
489,Product 489,Category 489,26.10683368781093
490,Product 490,Category 490,44.71547328333511
491,Product 491,Category 491,17.30694409965926
492,Product 492,Category 492,1.7380491560219526
493,Product 493,Category 493,47.67618160248718
494,Product 494,Category 494,33.00076751381832
495,Product 495,Category 495,18.392431284838096
496,Product 496,Category 496,15.599194758708622
497,Product 497,Category 497,2.9491028130022903
498,Product 498,Category 498,22.18166869255942
499,Product 499,Category 499,35.89636349379541
500,Product 500,Category 500,43.97163578312196
501,Product 501,Category 501,9.403091867161017
502,Product 502,Category 502,47.246802971703914
503,Product 503,Category 503,20.855763042341184
504,Product 504,Category 504,8.705997515042174
505,Product 505,Category 505,25.913126544497
506,Product 506,Category 506,42.047396896790275
507,Product 507,Category 507,32.14586379156198
508,Product 508,Category 508,43.30713642747288
509,Product 509,Category 509,21.33297505399194
510,Product 510,Category 510,11.693743394730964
511,Product 511,Category 511,17.249264668762642
512,Product 512,Category 512,31.657259544201793
513,Product 513,Category 513,33.76144244676835
514,Product 514,Category 514,7.109921642164862
515,Product 515,Category 515,24.00731824419884
516,Product 516,Category 516,36.76563025943159
517,Product 517,Category 517,3.3522980756432554
518,Product 518,Category 518,35.68961162511866
519,Product 519,Category 519,39.68552373598928
520,Product 520,Category 520,21.66456166890275
521,Product 521,Category 521,21.82701733308151
522,Product 522,Category 522,47.105914325515826
523,Product 523,Category 523,33.54106145127882
524,Product 524,Category 524,26.248629698446205
525,Product 525,Category 525,18.344670788779997
526,Product 526,Category 526,10.96426686719538
527,Product 527,Category 527,11.199900151416141
528,Product 528,Category 528,16.664510493537637
529,Product 529,Category 529,42.80229677804588
530,Product 530,Category 530,46.65151668657478
531,Product 531,Category 531,21.824039170824665
532,Product 532,Category 532,20.3633322746763
533,Product 533,Category 533,39.7191101010931
534,Product 534,Category 534,9.142462247996646
535,Product 535,Category 535,41.91071052678527
536,Product 536,Category 536,35.36685813503457
537,Product 537,Category 537,2.0005283499958715
538,Product 538,Category 538,4.495843408571969
539,Product 539,Category 539,31.489254206000222
540,Product 540,Category 540,29.3008024357721
541,Product 541,Category 541,4.0830425340359735
542,Product 542,Category 542,5.304989226087846
543,Product 543,Category 543,19.467659100397732
544,Product 544,Category 544,22.31299170494
545,Product 545,Category 545,38.22854157002598
546,Product 546,Category 546,9.464018369551345
547,Product 547,Category 547,24.92962938449239
548,Product 548,Category 548,28.121088591833615
549,Product 549,Category 549,16.06680519566423
550,Product 550,Category 550,35.26869544972095
551,Product 551,Category 551,10.294330547198488
552,Product 552,Category 552,9.123996598788729
553,Product 553,Category 553,49.87741232870508
554,Product 554,Category 554,22.091750949617445
555,Product 555,Category 555,40.424833863447446
556,Product 556,Category 556,34.763062623012324
557,Product 557,Category 557,44.557437980658044
558,Product 558,Category 558,8.655682688261583
559,Product 559,Category 559,39.007563803676355
560,Product 560,Category 560,17.133608272637918
561,Product 561,Category 561,11.738844531287883
562,Product 562,Category 562,40.27173787702845
563,Product 563,Category 563,39.82391321419109
564,Product 564,Category 564,34.22431040633872
565,Product 565,Category 565,12.099597998832117
566,Product 566,Category 566,12.322007293307001
567,Product 567,Category 567,25.89652100537934
568,Product 568,Category 568,39.10136588279048
569,Product 569,Category 569,40.5550669107772
570,Product 570,Category 570,39.732233651784604
571,Product 571,Category 571,33.91649538188436
572,Product 572,Category 572,42.856373792417266
573,Product 573,Category 573,41.72139538220632
574,Product 574,Category 574,1.2161834804380924
575,Product 575,Category 575,24.844256880413457
576,Product 576,Category 576,50.201273155359054
577,Product 577,Category 577,29.810062505964655
578,Product 578,Category 578,42.66807391203913
579,Product 579,Category 579,34.12542824803474
580,Product 580,Category 580,19.22066625557847
581,Product 581,Category 581,37.942972158716145
582,Product 582,Category 582,36.23781673090314
583,Product 583,Category 583,16.574610519834884
584,Product 584,Category 584,10.981292155153643
585,Product 585,Category 585,36.76994774278401
586,Product 586,Category 586,30.344487703929335
587,Product 587,Category 587,41.653627969066264
588,Product 588,Category 588,40.45036600089084
589,Product 589,Category 589,41.22562967562959
590,Product 590,Category 590,41.16666648658938
591,Product 591,Category 591,24.60722226060043
592,Product 592,Category 592,37.48896824249275
593,Product 593,Category 593,17.2803055775888
594,Product 594,Category 594,27.993991588322825
595,Product 595,Category 595,47.71796662424879
596,Product 596,Category 596,25.563603908745176
597,Product 597,Category 597,7.619325143162557
598,Product 598,Category 598,13.232454634238326
599,Product 599,Category 599,33.803496484399055
600,Product 600,Category 600,26.258510769834054
601,Product 601,Category 601,16.328292993449544
602,Product 602,Category 602,2.8266959571408616
603,Product 603,Category 603,31.003013736447976
604,Product 604,Category 604,49.673261648813764
605,Product 605,Category 605,27.86633793848187
606,Product 606,Category 606,34.39573795124138
607,Product 607,Category 607,3.886314930674555
608,Product 608,Category 608,34.35462892441131
609,Product 609,Category 609,34.87732395532112
610,Product 610,Category 610,28.474315375166853
611,Product 611,Category 611,50.96743225931905
612,Product 612,Category 612,5.538679835232612
613,Product 613,Category 613,12.718931828523615
614,Product 614,Category 614,42.91014871551367
615,Product 615,Category 615,32.816324679923426
616,Product 616,Category 616,27.168452111651103
617,Product 617,Category 617,5.982160408633524
618,Product 618,Category 618,31.688222633227735
619,Product 619,Category 619,48.135849182341246
620,Product 620,Category 620,31.404608318615583
621,Product 621,Category 621,33.728815614460956
622,Product 622,Category 622,37.23632723971812
623,Product 623,Category 623,37.40759907258452
624,Product 624,Category 624,19.16082720750459
625,Product 625,Category 625,25.69219715346624
626,Product 626,Category 626,49.61182976048848
627,Product 627,Category 627,25.009015130890077
628,Product 628,Category 628,36.572696624103386
629,Product 629,Category 629,21.26621531773305
630,Product 630,Category 630,46.87783823887972
631,Product 631,Category 631,31.065493111901265
632,Product 632,Category 632,45.24832989757729
633,Product 633,Category 633,46.750779511853125
634,Product 634,Category 634,38.44762934875408
635,Product 635,Category 635,43.72506230940255
636,Product 636,Category 636,18.650834651843684
637,Product 637,Category 637,34.02638089956596
638,Product 638,Category 638,17.209411555468318
639,Product 639,Category 639,41.029506889763375
640,Product 640,Category 640,13.027276098198758
641,Product 641,Category 641,5.598344463255327
642,Product 642,Category 642,36.83920141573182
643,Product 643,Category 643,39.104669576896974
644,Product 644,Category 644,28.92567107889837
645,Product 645,Category 645,26.78132610526494
646,Product 646,Category 646,17.867790582822185
647,Product 647,Category 647,20.003960329986256
648,Product 648,Category 648,48.53106136408933
649,Product 649,Category 649,15.687211872291217
650,Product 650,Category 650,49.78849271058742
651,Product 651,Category 651,8.212957786476625
652,Product 652,Category 652,4.803606540458504
653,Product 653,Category 653,5.634621072447759
654,Product 654,Category 654,46.77553226375207
655,Product 655,Category 655,19.559304336434984
656,Product 656,Category 656,10.716145197675308
657,Product 657,Category 657,22.615838462973525
658,Product 658,Category 658,31.428700138308578
659,Product 659,Category 659,50.07091337473696
660,Product 660,Category 660,50.76558791177566
661,Product 661,Category 661,22.53704933301451
662,Product 662,Category 662,14.368034182088195
663,Product 663,Category 663,5.1868690327478975
664,Product 664,Category 664,12.371977989858346
665,Product 665,Category 665,29.090328753517102
666,Product 666,Category 666,7.473039501706602
667,Product 667,Category 667,41.64916966569926
668,Product 668,Category 668,11.78100263133544
669,Product 669,Category 669,23.320941769971935
670,Product 670,Category 670,5.094138211945497
671,Product 671,Category 671,5.38987082830537
672,Product 672,Category 672,47.65019086005165
673,Product 673,Category 673,10.221043545644847
674,Product 674,Category 674,40.65974800137618
675,Product 675,Category 675,48.77693605208073
676,Product 676,Category 676,45.62599230863032
677,Product 677,Category 677,26.011003256727037
678,Product 678,Category 678,25.7606000260436
679,Product 679,Category 679,49.69348384007625
680,Product 680,Category 680,38.90836661438544
681,Product 681,Category 681,2.1620960846357056
682,Product 682,Category 682,5.013599084740472
683,Product 683,Category 683,33.098919792214126
684,Product 684,Category 684,13.051502065921921
685,Product 685,Category 685,18.66943373662631
686,Product 686,Category 686,12.790737047482857
687,Product 687,Category 687,12.956791817051954
688,Product 688,Category 688,28.063690855739527
689,Product 689,Category 689,9.601553014713481
690,Product 690,Category 690,47.24427100645013
691,Product 691,Category 691,28.713013821620574
692,Product 692,Category 692,17.246372563892002
693,Product 693,Category 693,28.533169528638922
694,Product 694,Category 694,32.96758549703533
695,Product 695,Category 695,45.86943764530082
696,Product 696,Category 696,50.15181003267317
