SaleID(Integer),DateKey(Integer),ProductKey(Integer),StoreKey(Integer),QuantitySold(Integer),TotalAmount(Double)
341,290,587,147,18,788.19
342,186,409,60,20,495.30
343,231,250,112,5,127.97
344,166,702,102,18,872.52
345,204,473,6,7,110.61
346,218,365,34,18,648.44
347,306,429,99,20,772.44
348,127,180,110,12,657.03
349,337,72,183,15,473.35
350,229,179,163,3,42.07
351,416,723,27,13,657.05
352,14,286,44,3,66.93
353,335,979,18,14,253.47
354,202,601,59,2,46.71
355,214,580,52,1,59.60
356,44,711,140,1,51.57
357,407,551,137,9,513.96
358,313,792,113,20,520.66
359,319,361,145,6,306.45
360,206,902,45,1,13.21
361,183,570,50,13,559.48
362,334,419,101,13,444.28
363,354,982,10,17,449.87
364,106,754,192,12,332.78
365,423,980,140,19,1109.93
366,95,447,8,17,468.78
367,331,920,88,9,356.77
368,322,5,170,15,241.30
369,376,471,114,20,221.00
370,358,595,136,3,54.79
371,394,319,28,20,751.13
372,164,459,71,10,356.23
373,88,521,183,1,56.39
374,497,192,74,14,656.09
375,477,580,148,4,133.98
376,497,618,53,1,51.67
377,433,519,161,7,165.13
378,453,272,111,10,280.42
379,213,651,167,10,136.92
380,454,242,71,5,182.04
381,90,539,104,11,288.64
382,173,802,32,11,269.87
383,49,577,61,17,730.03
384,354,861,192,19,613.19
385,30,646,188,17,316.99
386,144,75,50,15,315.27
387,116,197,40,14,587.08
388,111,23,76,10,176.56
389,181,277,19,20,1106.45
390,343,140,132,7,285.02
391,159,793,158,12,699.79
392,338,510,12,8,142.04
393,217,622,24,18,459.94
394,449,993,4,17,828.70
395,288,209,189,20,899.03
396,403,97,143,16,211.93
397,206,826,86,7,113.01
398,233,270,198,1,17.21
399,218,905,189,12,509.64
400,359,51,66,3,41.90
401,27,995,100,6,323.95
402,208,275,54,16,601.55
403,343,785,11,18,702.30
404,102,840,137,10,339.82
405,20,6,38,4,182.94
406,157,528,57,14,788.03
407,9,507,137,17,819.12
408,118,629,60,8,226.09
409,239,825,99,7,102.71
410,488,465,185,14,407.14
411,175,10,111,6,337.47
412,310,123,123,16,476.82
413,48,396,34,19,667.19
414,468,170,119,9,361.01
415,150,348,6,15,633.93
416,500,308,59,3,177.72
417,289,91,141,1,31.63
418,218,489,95,7,70.31
419,97,847,64,1,19.16
420,217,986,40,9,152.71
421,3,137,62,6,270.29
422,32,161,127,16,438.09
423,353,934,26,12,368.35
424,260,445,170,7,72.64
425,196,557,77,16,298.14
426,108,868,177,12,305.52
427,338,180,99,16,290.37
428,59,932,81,12,194.02
429,75,463,145,6,160.88
430,263,727,85,9,415.10
431,224,318,43,16,667.39
432,398,442,128,8,237.46
433,51,561,67,19,1037.39
434,282,593,153,3,87.41
435,188,500,189,14,769.15
436,419,313,70,7,419.21
437,101,161,31,10,391.96
438,29,811,74,1,44.23
439,397,111,126,16,576.75
440,240,169,41,20,800.41
441,198,389,179,2,111.16
442,255,335,24,4,160.27
443,308,954,84,11,304.02
444,437,952,83,18,719.65
445,111,741,158,2,30.78
446,120,171,54,1,21.71
447,430,115,40,10,262.79
448,376,410,14,20,745.57
449,414,227,195,8,425.46
450,412,654,8,18,625.55
451,477,578,173,14,636.11
452,44,577,111,8,230.66
453,223,220,12,20,921.58
454,250,880,68,1,31.24
455,255,920,47,13,644.32
456,272,268,159,16,735.85
457,280,950,144,4,207.68
458,115,813,91,5,91.02
459,423,304,118,14,330.04
460,437,219,45,6,119.97
461,457,666,199,13,745.09
462,201,106,109,15,689.93
463,118,432,185,10,505.87
464,191,872,118,13,449.72
465,245,387,81,11,555.35
466,36,964,161,13,376.37
467,435,543,140,4,86.56
468,61,86,23,4,186.85
469,239,452,34,4,98.05
470,173,815,187,19,1068.69
471,469,511,19,12,529.35
472,69,212,14,9,494.53
473,339,76,153,4,97.43
474,271,515,4,8,366.56
475,285,146,157,18,914.27
476,138,777,45,14,689.30
477,496,947,117,17,445.24
478,216,607,135,8,150.88
479,377,928,66,2,77.81
480,375,88,7,6,199.70
481,76,565,32,10,297.26
482,75,432,15,15,400.77
483,344,758,54,12,455.97
484,165,988,49,3,72.91
485,43,981,189,18,966.44
486,476,57,114,19,876.14
487,191,742,92,13,226.29
488,402,355,99,5,261.03
489,193,690,146,1,51.21
490,318,868,169,17,378.35
491,302,885,164,2,95.70
492,165,694,141,11,579.91
493,476,596,14,8,444.92
494,455,70,15,7,230.31
495,378,94,191,2,56.01
496,299,29,195,3,77.78
497,79,702,124,20,565.74
498,471,118,70,9,174.87
499,126,787,135,11,276.04
500,77,670,131,6,80.32
501,271,964,103,2,116.30
502,313,868,6,19,643.36
503,35,139,152,6,355.07
504,36,342,10,6,200.11
505,157,93,77,14,811.45
506,170,460,158,4,132.67
507,156,651,49,14,467.49
508,57,93,106,2,109.48
509,193,409,150,11,165.12
510,328,707,49,6,86.41
511,11,896,28,5,137.11
512,467,869,200,1,36.18
513,331,98,130,8,268.36
514,65,776,194,11,286.05
515,226,418,186,20,569.22
516,229,914,63,4,227.76
517,369,509,127,4,212.95
518,487,931,161,17,207.57
519,423,689,145,17,395.10
520,42,241,70,18,390.16
521,139,329,57,13,547.30
522,342,672,13,4,194.61
523,97,474,103,11,177.61
524,403,916,16,2,61.47
525,348,349,112,18,782.83
526,33,755,137,2,116.43
527,206,402,101,19,419.34
528,212,51,192,18,400.27
529,283,565,38,4,221.76
530,201,180,88,17,964.77
531,88,111,77,19,1111.81
532,168,98,1,20,228.21
533,315,716,7,15,541.84
534,273,227,9,18,334.17
535,304,813,85,6,176.66
536,153,376,69,16,422.92
537,451,737,88,8,97.48
538,305,115,100,13,280.37
539,423,381,194,16,857.13
540,402,173,155,11,205.72
541,212,661,65,9,150.40
542,269,146,132,19,600.59
543,368,22,22,9,380.35
544,82,442,199,20,1172.70
545,359,626,75,18,914.61
546,340,926,171,14,208.73
547,155,175,139,13,346.42
548,135,755,63,8,128.50
549,376,348,59,13,614.30
550,41,935,186,9,238.06
551,474,809,199,12,245.82
552,348,175,161,16,270.70
553,94,162,134,1,16.18
554,397,706,111,1,11.05
555,220,656,198,6,204.67
556,99,341,15,5,76.10
557,97,68,76,12,261.00
558,459,299,13,8,176.35
559,257,209,27,14,365.31
560,428,591,67,13,277.63
561,275,518,38,7,171.39
562,388,496,184,10,108.88
563,237,308,80,5,212.08
564,149,994,123,16,550.06
565,489,106,184,8,219.03
566,270,12,174,7,128.79
567,465,418,42,3,145.92
568,165,138,39,19,709.96
569,259,288,136,2,68.13
570,309,136,8,14,786.95
571,160,455,39,8,464.89
572,454,304,175,4,124.01
573,304,296,22,19,284.62
574,165,618,24,18,970.19
575,488,464,177,2,98.48
576,335,839,118,19,974.04
577,4,700,170,15,481.84
578,426,209,145,15,213.00
579,276,932,48,4,187.61
580,103,561,114,14,595.63
581,216,641,82,9,405.43
582,223,501,59,12,183.14
583,228,581,156,4,69.36
584,404,285,171,3,112.99
585,399,166,114,16,954.78
586,489,90,141,1,25.08
587,457,334,25,6,253.99
588,378,83,176,20,620.99
589,220,138,42,18,683.22
590,102,516,41,8,393.22
591,383,982,194,18,847.68
592,246,52,117,5,104.31
593,165,113,188,3,179.51
594,483,482,124,11,199.00
595,9,122,16,17,972.00
596,440,669,120,19,760.06
597,231,934,52,12,235.47
598,318,54,76,19,702.94
599,440,813,184,10,526.63
600,314,667,144,18,808.02
601,364,985,47,15,702.06
602,161,210,25,9,122.86
603,489,362,128,9,208.21
604,167,1000,62,14,480.93
605,289,209,109,20,326.23
606,394,676,141,19,1082.90
607,204,487,91,2,108.65
608,286,107,92,16,469.57
609,486,537,167,9,499.85
610,333,641,84,7,293.01
611,323,146,74,13,609.84
612,117,514,57,20,1141.40
613,265,485,10,13,192.50
614,474,652,125,17,337.86
615,121,686,97,1,29.68
616,355,362,187,15,760.15
617,316,789,67,3,133.79
618,105,999,120,19,384.44
619,137,990,169,20,665.30
620,470,803,20,13,626.34
621,335,119,146,11,183.20
622,412,958,111,19,520.51
623,44,423,88,4,147.20
624,74,936,199,18,918.55
625,120,807,176,17,630.38
626,277,210,174,10,458.81
627,280,792,179,3,114.35
628,409,20,177,4,138.53
629,399,794,73,20,553.50
630,203,66,187,10,151.42
631,243,740,173,2,57.40
632,194,877,152,13,511.99
633,407,157,172,12,565.90
634,373,570,111,7,139.35
635,265,605,142,4,109.18
636,247,114,152,1,11.93
637,255,337,110,17,620.20
638,386,543,59,20,1072.22
639,414,962,85,15,613.38
640,291,135,9,13,156.36
641,414,80,59,1,52.12
642,256,976,149,17,583.45
643,410,649,23,3,87.06
644,465,759,35,19,967.22
645,412,192,69,13,626.62
646,48,341,193,13,573.73
647,470,259,119,17,789.05
648,39,743,163,19,609.89
649,415,414,27,13,421.68
650,245,641,73,4,56.89
651,445,733,156,4,122.74
652,281,472,76,10,255.50
653,324,650,28,4,208.38
654,283,363,54,9,527.77
655,224,204,111,16,562.71
656,440,492,120,3,60.91
657,188,656,123,20,295.29
658,32,199,181,8,164.33
659,122,47,106,14,462.88
660,276,798,132,1,20.27
661,416,964,9,8,114.57
662,115,608,163,19,661.52
663,293,256,19,8,294.97
664,167,469,176,6,128.75
665,274,851,22,16,246.00
666,85,784,66,19,590.65
667,464,394,47,12,449.72
668,36,825,13,12,450.39
669,206,783,153,14,693.32
670,479,364,171,19,961.95
671,460,138,24,13,253.17
672,138,795,54,18,432.47
673,170,91,180,1,43.96
674,311,588,10,2,60.42
675,384,328,24,15,810.77
676,63,543,40,10,391.82
677,367,169,186,9,337.24
678,467,159,30,12,177.58
679,189,245,69,10,573.94
680,450,971,66,11,245.08
681,395,442,153,8,322.41
682,29,146,198,20,996.65
683,443,390,67,9,284.65
684,85,208,22,7,122.34
685,393,676,57,16,215.32
686,166,176,182,1,22.20
687,463,662,54,9,237.41
688,381,191,127,9,209.14
689,289,980,83,10,286.71
690,495,474,185,20,342.06
691,251,935,118,19,425.91
692,281,332,74,6,324.70
693,338,812,147,7,165.63
694,392,727,197,11,393.34
695,114,712,25,12,532.11
696,451,829,166,11,143.36
697,478,604,151,20,751.84
698,73,387,66,14,370.98
699,162,942,157,3,170.93
700,8,571,93,20,764.45
701,438,325,55,10,491.94
702,44,251,83,16,300.39
703,53,206,35,17,680.38
704,224,478,105,4,239.41
705,12,31,124,17,760.64
706,158,701,133,10,165.91
707,233,832,174,1,17.63
708,227,739,72,18,479.72
709,336,305,33,16,240.58
710,262,203,28,17,923.87
711,40,68,154,8,350.17
712,135,559,184,17,732.83
713,236,408,93,17,332.95
714,309,360,73,14,620.12
715,273,191,63,12,130.01
716,180,324,108,9,382.98
717,60,173,111,16,201.23
718,401,944,119,4,203.06
719,245,813,180,12,688.07
720,479,10,78,16,175.51
721,211,642,74,8,388.95
722,59,474,178,19,224.95
723,108,47,5,5,258.60
724,25,974,4,17,349.39
725,477,275,31,6,161.76
726,329,864,151,9,400.57
727,218,709,46,9,197.74
728,417,117,180,16,494.80
729,76,600,110,16,652.04
730,281,612,112,4,57.06
731,39,156,14,2,72.43
732,478,912,96,16,311.53
733,12,824,190,2,45.92
734,273,651,101,8,198.36
735,381,63,6,11,183.25
736,251,176,163,19,199.68
737,167,335,177,9,204.66
738,317,397,84,4,150.77
739,473,480,80,12,467.75
740,210,50,3,7,251.80
741,354,79,162,7,389.15
742,341,905,179,13,211.53
743,78,807,16,20,617.76
744,90,771,102,11,306.34
745,166,297,79,3,141.40
746,9,267,193,7,358.07
747,258,216,151,13,489.98
748,257,347,69,4,60.16
749,168,844,24,12,410.00
750,252,953,169,1,18.81
751,319,873,179,1,18.70
752,467,973,156,11,265.89
753,483,186,54,13,620.62
754,102,344,152,16,756.07
755,480,360,105,13,347.49
756,198,291,113,4,62.78
757,253,841,174,5,154.96
758,242,258,123,14,223.52
759,70,607,76,8,427.45
760,237,685,105,11,252.26
761,218,447,60,3,120.05
762,189,378,178,8,395.57
763,92,50,76,16,734.48
764,326,649,199,9,475.25
765,302,99,16,9,346.18
766,170,981,104,3,78.42
767,124,589,185,18,268.86
768,253,547,125,6,316.24
769,163,169,149,4,105.54
770,413,713,137,17,274.79
771,24,737,94,13,159.61
772,498,301,161,12,581.63
773,428,421,21,13,529.25
774,320,480,67,15,493.41
775,222,751,103,10,536.58
776,487,206,18,1,13.48
777,225,245,56,16,462.39
778,246,373,46,3,103.89
779,166,323,195,7,389.73
780,172,478,113,11,426.49
781,157,674,43,19,542.34
782,171,92,165,2,87.08
783,351,689,163,3,115.07
784,202,903,17,2,77.03
785,487,238,129,2,68.55
786,121,964,67,17,1012.74
787,462,393,113,19,398.62
788,102,340,64,11,488.41
789,179,390,198,7,342.31
790,311,975,55,14,524.23
791,164,357,67,9,511.62
792,327,588,197,14,229.85
793,490,624,191,18,876.18
794,170,958,42,15,219.62
795,347,608,166,7,89.41
796,332,502,200,15,389.41
797,2,916,68,8,340.05
798,123,57,100,1,28.13
799,474,936,196,11,567.50
800,352,53,22,6,303.37
801,252,469,87,19,423.63
802,16,780,195,4,147.22
803,330,891,127,15,306.62
804,85,340,178,14,803.82
805,204,640,107,3,107.82
806,100,177,68,8,205.26
807,386,692,13,13,447.81
808,482,465,14,8,364.12
809,354,211,150,5,80.57
810,250,420,136,5,282.46
811,345,758,123,19,461.73
812,238,253,16,7,94.78
813,316,742,104,10,168.56
814,10,968,169,8,386.58
815,315,142,194,3,112.34
816,439,553,126,15,339.32
817,309,164,50,3,137.55
818,453,117,36,15,280.96
819,444,875,21,18,825.36
820,16,145,155,15,446.97
821,441,409,136,17,570.19
822,465,892,133,13,587.88
823,298,432,145,11,208.12
824,148,531,192,9,264.50
825,303,435,120,4,202.25
826,346,144,70,12,157.40
827,458,31,36,4,70.93
828,425,647,117,1,55.52
829,235,36,146,7,157.57
830,369,902,137,1,53.65
831,271,39,15,18,1022.37
832,110,967,182,15,297.33
833,62,533,183,17,778.85
834,420,92,90,10,428.13
835,300,870,54,15,171.87
836,386,334,87,20,675.93
837,73,171,114,5,151.99
838,427,308,159,20,558.66
839,457,709,163,14,328.33
840,28,556,88,12,544.26
841,243,620,74,1,33.94
842,167,712,72,5,127.02
843,67,153,183,9,212.02
844,185,359,83,20,1080.08
845,203,417,7,4,235.21
846,350,702,39,14,540.43
847,338,399,177,8,390.99
848,78,178,25,4,234.13
849,432,4,49,7,393.96
850,77,292,113,17,524.75
851,205,374,117,19,629.84
852,316,625,113,12,423.60
853,417,362,85,2,46.65
854,194,852,156,14,750.23
855,82,128,63,11,457.19
856,138,609,154,9,396.79
857,93,873,136,6,209.74
858,15,327,104,8,195.33
859,296,359,46,10,565.83
860,487,979,109,4,48.22
861,345,922,154,17,518.59
862,478,116,15,3,75.96
863,164,266,67,10,489.30
864,166,280,45,16,872.95
865,253,927,13,3,42.12
866,192,170,166,19,845.75
867,8,929,8,9,334.85
868,185,500,199,11,600.42
869,424,564,4,6,233.31
870,207,912,194,2,40.65
871,364,587,90,5,257.92
872,151,326,146,5,200.53
873,342,855,85,1,22.63
874,300,122,172,17,999.83
875,320,781,39,8,166.83
876,23,829,64,9,189.67
877,191,883,120,7,230.01
878,89,165,110,10,403.30
879,96,845,41,7,338.07
880,263,491,108,17,419.23
881,203,312,62,7,313.85
882,405,25,4,13,693.06
883,169,489,97,1,30.15
884,486,365,187,18,884.32
885,170,619,44,7,354.04
886,376,525,172,9,417.67
887,242,780,182,13,663.37
888,83,671,67,18,775.31
889,188,802,110,4,176.06
890,124,548,127,11,247.21
891,369,712,53,10,132.07
892,432,235,48,12,693.54
893,484,775,100,11,215.58
894,408,101,87,1,10.15
895,11,979,166,12,261.73
896,352,529,139,14,229.45
897,178,555,65,5,256.83
898,144,13,151,3,121.83
899,260,348,198,20,1095.34
900,378,686,177,11,478.58
901,371,459,136,11,181.18
902,126,614,151,7,199.26
903,233,13,192,17,779.35
904,93,104,67,14,768.90
905,29,670,142,12,494.60
906,233,362,77,7,401.10
907,145,314,67,20,1009.31
908,62,87,104,11,174.02
909,65,211,83,16,464.06
910,9,247,30,8,407.19
911,249,512,8,16,762.24
912,358,652,149,11,453.74
913,212,141,138,14,392.64
914,317,987,76,20,441.54
915,329,309,186,6,343.21
916,466,660,23,20,626.79
917,104,514,180,16,198.28
918,242,679,173,12,373.98
919,285,836,148,8,156.34
920,129,941,164,15,867.01
921,441,646,178,2,65.33
922,425,103,187,4,224.93
923,37,921,55,7,316.80
924,386,854,14,4,186.99
925,168,363,113,13,558.30
926,13,247,191,1,26.77
927,258,128,98,8,355.78
928,68,937,128,1,36.18
929,379,802,156,2,55.05
930,192,174,29,5,259.63
931,171,704,97,5,201.25
932,389,163,191,11,267.57
933,127,169,62,3,106.80
934,494,277,172,7,233.32
935,318,45,23,11,629.37
936,56,657,67,19,338.87
937,354,910,149,8,269.07
938,346,279,36,8,331.57
939,397,904,148,19,1054.02
940,120,612,124,10,358.56
941,180,66,129,18,971.01
942,129,969,175,6,315.38
943,157,71,64,6,306.63
944,371,453,166,2,56.67
945,75,534,35,17,917.65
946,33,987,1,13,544.01
947,79,722,22,11,305.27
948,320,463,70,10,233.38
949,267,287,151,12,647.63
950,340,523,200,8,444.16
951,199,898,107,4,197.73
952,422,202,84,1,29.71
953,418,692,124,11,451.26
954,482,415,172,16,684.11
955,104,2,118,14,452.99
956,91,445,151,1,37.36
957,97,117,111,2,30.47
958,367,338,177,19,285.98
959,32,49,134,5,117.05
960,71,362,164,4,112.96
961,22,12,36,11,639.36
962,56,501,177,17,299.69
963,349,221,175,16,241.73
964,146,388,64,12,439.16
965,21,302,126,19,488.11
966,394,166,35,9,396.27
967,497,664,142,7,357.21
968,282,899,186,14,379.30
969,476,402,98,14,803.68
970,483,250,128,3,153.62
971,499,470,152,15,633.22
972,312,813,187,9,398.23
973,184,191,168,11,537.23
974,445,822,105,17,652.32
975,437,907,192,14,331.42
976,255,597,62,6,157.20
977,430,569,155,8,472.24
978,361,640,35,17,653.98
979,357,103,159,3,92.86
980,76,606,193,10,199.04
981,347,323,100,4,57.87
982,329,201,155,8,290.89
983,336,316,154,7,138.34
984,93,247,34,12,405.86
985,157,717,132,15,439.71
986,443,413,163,11,251.39
987,414,669,88,19,698.91
988,206,175,123,18,317.98
989,36,606,56,19,696.34
